index,airline_name,overall_rating,review_date,verified,type_of_traveller,seat_type,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,value_for_money,recommended,year
0,AB Aviation,9,11th November 2019,True,Solo Leisure,Economy Class,November 2019,4,5,4,4,3,True,2019
1,AB Aviation,1,25th June 2019,True,Solo Leisure,Economy Class,June 2019,2,2,1,1,2,False,2019
2,AB Aviation,1,25th June 2019,True,Solo Leisure,Economy Class,June 2019,2,1,1,1,2,False,2019
3,Adria Airways,1,28th September 2019,False,Solo Leisure,Economy Class,September 2019,1,1,1,1,1,False,2019
4,Adria Airways,1,24th September 2019,True,Couple Leisure,Economy Class,September 2019,1,1,1,1,1,False,2019
5,Adria Airways,1,17th September 2019,True,Couple Leisure,Economy Class,September 2019,1,1,1,1,1,False,2019
6,Adria Airways,1,6th September 2019,False,Business,Economy Class,September 2019,1,1,1,1,1,False,2019
7,Adria Airways,1,24th August 2019,False,Solo Leisure,Economy Class,August 2019,1,1,1,1,1,False,2019
8,Adria Airways,1,6th August 2019,True,Solo Leisure,Economy Class,August 2019,1,2,1,1,1,False,2019
9,Adria Airways,8,12th October 2018,True,Family Leisure,Economy Class,October 2018,4,4,3,5,5,True,2018
10,Adria Airways,1,5th October 2018,False,Business,Economy Class,October 2018,2,1,1,1,1,False,2018
11,Adria Airways,1,29th July 2018,True,Family Leisure,Economy Class,July 2018,4,1,1,4,1,False,2018
12,Adria Airways,2,19th July 2018,True,Solo Leisure,Economy Class,May 2018,3,3,1,3,2,False,2018
13,Adria Airways,2,30th June 2018,True,Business,Economy Class,June 2018,1,2,2,2,1,False,2018
14,Adria Airways,3,24th June 2018,True,Couple Leisure,Economy Class,June 2018,3,3,1,1,1,False,2018
15,Adria Airways,1,4th May 2018,True,Business,Economy Class,April 2018,5,5,5,5,5,True,2018
16,Adria Airways,1,11th March 2018,True,Solo Leisure,Economy Class,March 2018,2,1,1,1,1,False,2018
17,Adria Airways,3,5th December 2017,True,Solo Leisure,Economy Class,September 2017,2,4,1,1,3,False,2017
18,Adria Airways,9,20th November 2017,True,Business,Economy Class,November 2017,5,5,3,5,3,True,2017
19,Adria Airways,2,27th October 2017,False,Couple Leisure,Economy Class,October 2017,3,3,1,1,1,False,2017
20,Adria Airways,2,16th September 2017,False,Family Leisure,Economy Class,June 2017,3,4,1,1,2,False,2017
21,Adria Airways,9,19th April 2017,False,Business,Economy Class,April 2017,5,5,4,5,4,True,2017
22,Adria Airways,8,27th January 2017,False,Solo Leisure,Business Class,December 2016,5,5,4,5,4,True,2016
23,Adria Airways,1,10th November 2016,False,Business,Economy Class,October 2016,5,5,1,5,4,True,2016
24,Adria Airways,8,9th November 2016,False,Solo Leisure,Business Class,November 2016,4,4,3,3,4,True,2016
25,Adria Airways,5,3rd November 2016,False,Business,Economy Class,November 2016,3,5,1,4,1,False,2016
26,Adria Airways,2,21st October 2016,False,Solo Leisure,Economy Class,October 2016,1,1,2,3,1,False,2016
27,Adria Airways,3,10th October 2016,False,Solo Leisure,Economy Class,October 2016,3,1,1,2,2,False,2016
28,Adria Airways,3,30th September 2016,False,Couple Leisure,Economy Class,August 2016,2,2,1,4,4,False,2016
29,Adria Airways,6,4th September 2016,False,Family Leisure,Economy Class,September 2016,2,4,3,3,4,True,2016
30,Adria Airways,3,6th August 2016,False,Couple Leisure,Economy Class,July 2016,4,5,1,1,3,False,2016
31,Adria Airways,1,29th July 2016,False,Solo Leisure,Economy Class,July 2016,5,5,5,5,5,True,2016
32,Adria Airways,8,13th July 2016,False,Business,Economy Class,July 2016,4,4,3,5,4,True,2016
33,Adria Airways,1,11th July 2016,False,Solo Leisure,Economy Class,July 2016,5,5,1,5,5,True,2016
34,Adria Airways,6,10th July 2016,False,Solo Leisure,Economy Class,July 2016,3,2,2,4,3,True,2016
35,Adria Airways,3,25th January 2016,False,Solo Leisure,Economy Class,January 2016,2,3,1,3,1,False,2016
36,Adria Airways,5,4th December 2015,False,Couple Leisure,Economy Class,September 2015,3,3,1,3,2,False,2015
37,Adria Airways,7,3rd October 2015,False,Solo Leisure,Economy Class,September 2015,5,1,1,5,5,True,2015
38,Adria Airways,9,20th September 2015,False,Business,Business Class,September 2015,5,5,5,5,5,True,2015
39,Adria Airways,5,9th September 2015,False,Family Leisure,Economy Class,February 2015,4,3,1,3,3,False,2015
40,Adria Airways,6,4th September 2015,False,Family Leisure,Economy Class,August 2015,4,5,1,5,2,True,2015
41,Adria Airways,1,2nd September 2015,False,Family Leisure,Economy Class,August 2015,5,5,1,5,4,True,2015
94,Aegean Airlines,1,24th July 2023,True,Family Leisure,Economy Class,July 2023,2,1,1,1,1,False,2023
95,Aegean Airlines,1,19th July 2023,True,Couple Leisure,Economy Class,June 2023,3,1,3,1,1,False,2023
96,Aegean Airlines,4,17th July 2023,True,Family Leisure,Economy Class,May 2023,2,3,3,2,2,True,2023
97,Aegean Airlines,4,16th July 2023,True,Couple Leisure,Premium Economy,July 2023,3,2,1,2,2,False,2023
98,Aegean Airlines,1,16th July 2023,False,Couple Leisure,Economy Class,July 2023,1,1,1,1,1,False,2023
99,Aegean Airlines,1,15th July 2023,False,Couple Leisure,Business Class,July 2023,1,1,1,1,1,False,2023
100,Aegean Airlines,1,11th July 2023,False,Couple Leisure,Economy Class,July 2023,3,3,1,1,2,False,2023
101,Aegean Airlines,1,7th July 2023,True,Couple Leisure,Economy Class,July 2023,3,3,1,5,5,True,2023
102,Aegean Airlines,8,5th July 2023,True,Business,Business Class,June 2023,3,4,4,3,4,True,2023
103,Aegean Airlines,4,4th July 2023,True,Business,Economy Class,June 2023,2,4,3,1,2,False,2023
104,Aegean Airlines,1,3rd July 2023,False,Business,Business Class,July 2023,5,5,5,1,1,False,2023
105,Aegean Airlines,6,1st July 2023,True,Couple Leisure,Economy Class,June 2023,4,3,2,4,5,True,2023
106,Aegean Airlines,1,1st July 2023,True,Solo Leisure,Economy Class,June 2023,1,1,1,1,1,False,2023
107,Aegean Airlines,2,30th June 2023,True,Couple Leisure,Economy Class,June 2023,1,2,1,1,3,False,2023
108,Aegean Airlines,9,29th June 2023,True,Couple Leisure,Economy Class,June 2023,5,5,5,4,5,True,2023
109,Aegean Airlines,9,30th May 2023,True,Couple Leisure,Business Class,May 2023,5,5,5,5,5,True,2023
110,Aegean Airlines,1,23rd May 2023,True,Family Leisure,Economy Class,May 2023,1,1,1,1,1,False,2023
111,Aegean Airlines,1,2nd May 2023,False,Business,Economy Class,May 2023,1,1,1,1,1,False,2023
112,Aegean Airlines,8,30th April 2023,True,Couple Leisure,Economy Class,April 2023,4,5,3,5,5,True,2023
113,Aegean Airlines,1,26th April 2023,True,Solo Leisure,Economy Class,April 2023,5,5,5,5,5,True,2023
114,Aegean Airlines,9,23rd April 2023,True,Solo Leisure,Economy Class,April 2023,4,5,5,4,4,True,2023
115,Aegean Airlines,1,20th April 2023,True,Solo Leisure,Economy Class,April 2023,1,1,1,1,1,False,2023
116,Aegean Airlines,1,7th April 2023,True,Solo Leisure,Economy Class,March 2023,3,3,2,1,2,False,2023
117,Aegean Airlines,3,1st April 2023,True,Solo Leisure,Economy Class,March 2023,4,5,3,1,3,False,2023
118,Aegean Airlines,9,26th March 2023,True,Couple Leisure,Business Class,March 2023,4,5,5,4,5,True,2023
119,Aegean Airlines,8,21st March 2023,True,Family Leisure,Business Class,September 2022,2,4,3,5,5,True,2022
120,Aegean Airlines,1,16th March 2023,True,Business,Economy Class,July 2022,3,2,1,1,1,False,2022
122,Aegean Airlines,5,3rd March 2023,True,Family Leisure,Economy Class,March 2023,1,5,2,5,3,False,2023
124,Aegean Airlines,1,9th February 2023,True,Family Leisure,Economy Class,June 2022,1,1,1,1,1,False,2022
125,Aegean Airlines,2,13th January 2023,False,Solo Leisure,Economy Class,December 2022,1,2,1,2,2,False,2022
126,Aegean Airlines,3,9th January 2023,True,Family Leisure,Economy Class,January 2023,2,3,3,3,2,False,2023
127,Aegean Airlines,5,31st December 2022,True,Solo Leisure,Economy Class,December 2022,3,3,3,3,3,False,2022
128,Aegean Airlines,1,18th December 2022,True,Solo Leisure,Economy Class,December 2022,2,1,1,1,1,False,2022
129,Aegean Airlines,1,13th November 2022,True,Family Leisure,Economy Class,November 2022,4,5,4,1,1,False,2022
130,Aegean Airlines,1,13th November 2022,True,Solo Leisure,Economy Class,November 2022,5,5,3,5,5,True,2022
131,Aegean Airlines,1,4th November 2022,True,Family Leisure,Economy Class,November 2022,2,1,2,3,3,False,2022
132,Aegean Airlines,2,3rd November 2022,True,Business,Economy Class,September 2022,2,4,3,2,3,False,2022
133,Aegean Airlines,1,26th October 2022,True,Solo Leisure,Economy Class,October 2022,4,5,4,5,5,True,2022
134,Aegean Airlines,1,10th October 2022,True,Couple Leisure,Economy Class,August 2022,1,1,1,1,1,False,2022
135,Aegean Airlines,6,6th October 2022,True,Business,Economy Class,October 2022,3,3,3,3,3,False,2022
136,Aegean Airlines,1,5th October 2022,True,Couple Leisure,Economy Class,October 2022,2,2,1,1,1,False,2022
137,Aegean Airlines,1,1st October 2022,False,Couple Leisure,Economy Class,August 2022,1,1,1,1,1,False,2022
138,Aegean Airlines,5,30th September 2022,True,Solo Leisure,Economy Class,September 2022,4,5,3,1,3,False,2022
139,Aegean Airlines,1,20th September 2022,True,Couple Leisure,Economy Class,September 2022,2,5,2,1,1,False,2022
140,Aegean Airlines,5,18th September 2022,True,Family Leisure,Economy Class,September 2022,5,5,4,4,3,True,2022
141,Aegean Airlines,1,18th September 2022,True,Solo Leisure,Economy Class,September 2022,5,5,5,5,5,True,2022
142,Aegean Airlines,4,17th September 2022,True,Business,Economy Class,September 2022,3,3,1,4,2,False,2022
143,Aegean Airlines,2,11th September 2022,True,Couple Leisure,Economy Class,June 2022,3,1,2,2,3,False,2022
144,Aegean Airlines,6,5th September 2022,True,Solo Leisure,Economy Class,September 2022,2,4,4,4,3,True,2022
145,Aegean Airlines,2,2nd September 2022,True,Couple Leisure,Economy Class,August 2022,2,3,1,1,1,False,2022
146,Aegean Airlines,2,2nd September 2022,True,Couple Leisure,Economy Class,September 2022,2,3,3,1,1,False,2022
147,Aegean Airlines,1,18th August 2022,True,Solo Leisure,Economy Class,June 2022,5,5,5,5,5,True,2022
148,Aegean Airlines,5,12th August 2022,True,Solo Leisure,Economy Class,August 2022,3,4,3,1,1,False,2022
149,Aegean Airlines,1,11th August 2022,False,Business,Economy Class,August 2022,4,5,5,5,5,True,2022
150,Aegean Airlines,1,11th August 2022,True,Family Leisure,Economy Class,August 2022,2,2,1,1,1,False,2022
151,Aegean Airlines,2,2nd August 2022,True,Business,Economy Class,August 2022,3,3,1,1,1,False,2022
152,Aegean Airlines,1,29th July 2022,True,Business,Economy Class,July 2022,1,1,1,1,1,False,2022
153,Aegean Airlines,1,11th July 2022,True,Couple Leisure,Economy Class,July 2022,1,1,1,1,1,False,2022
154,Aegean Airlines,9,9th July 2022,False,Solo Leisure,Economy Class,July 2022,5,5,5,5,5,True,2022
155,Aegean Airlines,2,8th July 2022,True,Solo Leisure,Economy Class,July 2022,3,3,1,3,2,False,2022
156,Aegean Airlines,1,7th July 2022,True,Solo Leisure,Premium Economy,July 2022,1,1,1,1,1,False,2022
157,Aegean Airlines,1,3rd July 2022,True,Solo Leisure,Economy Class,July 2022,2,2,1,1,1,False,2022
158,Aegean Airlines,9,26th June 2022,False,Solo Leisure,Economy Class,June 2022,5,5,5,5,5,True,2022
159,Aegean Airlines,1,25th June 2022,False,Business,Economy Class,June 2022,3,3,3,1,1,False,2022
160,Aegean Airlines,7,20th June 2022,True,Couple Leisure,Business Class,June 2022,4,5,3,1,1,True,2022
161,Aegean Airlines,1,20th June 2022,False,Solo Leisure,Economy Class,June 2022,2,3,1,1,1,False,2022
163,Aegean Airlines,4,5th May 2022,True,Couple Leisure,Premium Economy,May 2022,4,1,1,4,3,False,2022
165,Aegean Airlines,1,24th April 2022,True,Solo Leisure,Economy Class,April 2022,5,5,5,5,5,True,2022
166,Aegean Airlines,9,20th April 2022,False,Solo Leisure,Economy Class,April 2022,4,5,5,5,5,True,2022
167,Aegean Airlines,1,19th April 2022,True,Family Leisure,Economy Class,May 2021,1,1,1,1,1,False,2021
169,Aegean Airlines,3,8th April 2022,True,Business,Business Class,April 2022,1,5,3,5,1,False,2022
170,Aegean Airlines,1,7th April 2022,False,Couple Leisure,Economy Class,September 2021,1,1,1,1,1,False,2021
171,Aegean Airlines,1,4th April 2022,True,Couple Leisure,Economy Class,April 2022,1,3,2,3,1,False,2022
172,Aegean Airlines,1,3rd April 2022,False,Solo Leisure,Economy Class,March 2022,4,5,5,5,5,True,2022
173,Aegean Airlines,1,1st April 2022,True,Business,Economy Class,April 2022,1,1,1,1,1,False,2022
174,Aegean Airlines,1,6th March 2022,True,Business,Economy Class,February 2022,5,5,5,5,5,True,2022
175,Aegean Airlines,9,21st February 2022,False,Solo Leisure,Economy Class,February 2022,4,5,4,5,5,True,2022
176,Aegean Airlines,6,20th February 2022,False,Family Leisure,Economy Class,February 2022,2,4,2,5,2,True,2022
177,Aegean Airlines,4,5th January 2022,True,Family Leisure,Economy Class,December 2021,4,2,1,3,1,True,2021
178,Aegean Airlines,1,31st December 2021,True,Family Leisure,Economy Class,December 2021,2,4,2,1,1,False,2021
179,Aegean Airlines,1,25th December 2021,True,Solo Leisure,Economy Class,November 2021,5,5,5,5,5,True,2021
180,Aegean Airlines,4,7th December 2021,True,Business,Economy Class,December 2021,4,4,3,1,1,False,2021
181,Aegean Airlines,5,15th November 2021,True,Business,Economy Class,November 2021,4,5,2,4,2,False,2021
183,Aegean Airlines,2,3rd November 2021,True,Family Leisure,Economy Class,November 2021,2,3,1,1,2,False,2021
184,Aegean Airlines,7,10th October 2021,True,Solo Leisure,Economy Class,October 2021,3,4,4,4,5,True,2021
185,Aegean Airlines,7,2nd October 2021,True,Couple Leisure,Economy Class,October 2021,3,3,3,4,5,True,2021
187,Aegean Airlines,5,26th September 2021,True,Solo Leisure,Economy Class,September 2021,3,4,2,4,3,False,2021
188,Aegean Airlines,2,14th September 2021,True,Solo Leisure,Economy Class,September 2021,3,3,1,1,1,False,2021
189,Aegean Airlines,1,12th September 2021,True,Couple Leisure,Economy Class,September 2021,1,1,1,1,1,False,2021
190,Aegean Airlines,3,10th September 2021,True,Solo Leisure,Economy Class,September 2021,4,5,4,3,3,False,2021
191,Aegean Airlines,3,9th September 2021,True,Business,Economy Class,September 2021,1,1,1,1,1,False,2021
192,Aegean Airlines,1,4th September 2021,False,Solo Leisure,Business Class,September 2021,3,5,4,5,4,True,2021
193,Aegean Airlines,9,3rd September 2021,False,Family Leisure,Economy Class,September 2021,4,5,5,5,5,True,2021
194,Aer Lingus,3,21st July 2023,False,Couple Leisure,Economy Class,August 2022,4,4,3,1,3,False,2022
195,Aer Lingus,1,18th July 2023,True,Couple Leisure,Economy Class,July 2023,1,4,1,3,2,False,2023
196,Aer Lingus,1,18th July 2023,True,Couple Leisure,Economy Class,July 2023,3,5,5,5,5,True,2023
197,Aer Lingus,3,18th July 2023,False,Couple Leisure,Economy Class,July 2023,2,2,1,4,1,False,2023
198,Aer Lingus,2,15th July 2023,False,Solo Leisure,Economy Class,July 2023,3,3,1,1,2,False,2023
199,Aer Lingus,1,14th July 2023,False,Couple Leisure,Economy Class,May 2023,2,2,1,1,1,False,2023
200,Aer Lingus,1,10th July 2023,False,Family Leisure,Economy Class,July 2023,1,1,1,1,1,False,2023
201,Aer Lingus,2,1st July 2023,False,Couple Leisure,Economy Class,June 2023,2,4,4,1,3,False,2023
202,Aer Lingus,1,30th June 2023,False,Family Leisure,Economy Class,June 2023,3,4,1,1,1,False,2023
203,Aer Lingus,1,30th June 2023,True,Family Leisure,Economy Class,August 2022,2,2,1,3,3,False,2022
204,Aer Lingus,1,29th June 2023,True,Family Leisure,Economy Class,June 2023,1,1,1,1,1,False,2023
205,Aer Lingus,1,28th June 2023,False,Couple Leisure,Economy Class,June 2023,1,5,1,1,1,False,2023
206,Aer Lingus,9,27th June 2023,True,Family Leisure,Economy Class,June 2023,4,5,1,4,5,True,2023
207,Aer Lingus,1,25th June 2023,False,Couple Leisure,Economy Class,June 2023,1,1,1,1,1,False,2023
208,Aer Lingus,1,20th June 2023,True,Couple Leisure,Economy Class,May 2023,1,1,1,1,1,False,2023
209,Aer Lingus,1,18th June 2023,True,Solo Leisure,Economy Class,June 2023,3,5,5,1,1,False,2023
210,Aer Lingus,1,17th June 2023,False,Couple Leisure,Economy Class,June 2023,1,1,1,1,1,False,2023
211,Aer Lingus,7,14th June 2023,True,Couple Leisure,Business Class,June 2023,5,4,3,5,4,True,2023
212,Aer Lingus,2,14th June 2023,True,Family Leisure,Economy Class,May 2023,3,4,4,3,2,False,2023
213,Aer Lingus,3,13th June 2023,False,Business,Economy Class,June 2023,1,1,1,1,1,False,2023
214,Aer Lingus,1,13th June 2023,False,Family Leisure,Economy Class,March 2023,3,3,3,1,1,False,2023
215,Aer Lingus,1,11th June 2023,True,Business,Business Class,May 2023,1,1,1,1,1,False,2023
216,Aer Lingus,7,4th June 2023,True,Solo Leisure,Economy Class,June 2023,5,2,1,2,3,True,2023
217,Aer Lingus,1,28th May 2023,True,Business,Business Class,May 2023,2,1,1,1,1,False,2023
218,Aer Lingus,3,28th May 2023,True,Solo Leisure,Economy Class,May 2023,4,5,1,4,4,False,2023
219,Aer Lingus,2,27th May 2023,True,Family Leisure,Economy Class,May 2023,4,3,3,1,2,False,2023
220,Aer Lingus,1,24th May 2023,True,Business,Economy Class,May 2023,5,5,1,5,5,True,2023
221,Aer Lingus,1,23rd May 2023,False,Couple Leisure,Economy Class,May 2023,3,4,4,1,3,False,2023
222,Aer Lingus,8,19th May 2023,False,Business,Premium Economy,May 2023,3,4,4,4,4,True,2023
223,Aer Lingus,1,18th May 2023,True,Couple Leisure,Business Class,May 2023,3,1,1,1,4,False,2023
224,Aer Lingus,3,18th May 2023,True,Solo Leisure,Economy Class,May 2023,3,1,1,3,2,False,2023
225,Aer Lingus,3,17th May 2023,True,Business,Business Class,May 2023,3,2,2,2,2,False,2023
226,Aer Lingus,3,14th May 2023,False,Family Leisure,Economy Class,May 2023,2,3,2,1,2,False,2023
227,Aer Lingus,1,12th May 2023,True,Solo Leisure,Economy Class,May 2023,2,1,1,1,1,False,2023
228,Aer Lingus,1,10th May 2023,True,Solo Leisure,Economy Class,May 2023,1,1,1,1,1,False,2023
229,Aer Lingus,1,8th May 2023,True,Couple Leisure,Economy Class,May 2023,2,5,2,5,5,True,2023
230,Aer Lingus,3,1st May 2023,False,Family Leisure,Economy Class,August 2022,4,4,4,1,3,False,2022
231,Aer Lingus,1,27th April 2023,False,Solo Leisure,Economy Class,April 2023,1,1,1,1,1,False,2023
232,Aer Lingus,9,15th April 2023,False,Solo Leisure,Economy Class,April 2023,5,4,3,5,5,True,2023
233,Aer Lingus,1,15th April 2023,True,Business,Economy Class,April 2023,1,5,1,1,1,False,2023
234,Aer Lingus,1,9th April 2023,True,Family Leisure,Economy Class,April 2023,1,1,1,1,1,False,2023
235,Aer Lingus,2,7th April 2023,True,Family Leisure,Economy Class,April 2023,1,1,1,1,1,False,2023
236,Aer Lingus,1,3rd April 2023,False,Couple Leisure,Economy Class,April 2023,2,1,1,1,1,False,2023
237,Aer Lingus,6,28th February 2023,True,Solo Leisure,Economy Class,February 2023,4,2,1,3,3,False,2023
238,Aer Lingus,6,30th January 2023,False,Couple Leisure,Economy Class,September 2022,1,3,1,3,4,True,2022
240,Aer Lingus,1,8th January 2023,True,Family Leisure,Business Class,December 2022,2,1,1,1,1,False,2022
241,Aer Lingus,4,7th January 2023,False,Solo Leisure,Economy Class,January 2023,4,4,4,3,4,False,2023
242,Aer Lingus,1,27th December 2022,True,Family Leisure,Economy Class,December 2022,2,1,2,1,1,False,2022
243,Aer Lingus,1,24th December 2022,False,Family Leisure,Economy Class,December 2022,1,1,1,1,1,False,2022
244,Aer Lingus,1,19th December 2022,False,Solo Leisure,Economy Class,September 2022,1,2,1,1,1,False,2022
245,Aer Lingus,2,17th December 2022,True,Solo Leisure,Economy Class,December 2022,2,2,2,1,2,False,2022
246,Aer Lingus,1,15th December 2022,False,Business,Premium Economy,December 2022,1,1,1,1,1,False,2022
247,Aer Lingus,1,13th December 2022,False,Couple Leisure,Economy Class,December 2022,1,2,2,1,1,False,2022
248,Aer Lingus,3,12th December 2022,True,Solo Leisure,Economy Class,December 2022,3,3,1,1,1,False,2022
249,Aer Lingus,2,1st December 2022,True,Solo Leisure,Economy Class,December 2022,1,3,1,1,1,False,2022
251,Aer Lingus,3,13th November 2022,False,Family Leisure,Economy Class,November 2022,4,1,1,3,3,False,2022
252,Aer Lingus,1,7th November 2022,False,Solo Leisure,Economy Class,September 2022,1,1,1,1,1,False,2022
253,Aer Lingus,2,6th November 2022,True,Couple Leisure,Economy Class,July 2022,3,2,1,1,1,False,2022
254,Aer Lingus,1,4th November 2022,True,Family Leisure,Economy Class,November 2022,1,1,1,1,2,False,2022
255,Aer Lingus,1,29th October 2022,False,Couple Leisure,Economy Class,July 2022,1,1,1,1,1,False,2022
256,Aer Lingus,1,18th October 2022,True,Family Leisure,Economy Class,June 2022,4,4,2,2,3,False,2022
257,Aer Lingus,2,13th October 2022,True,Solo Leisure,Economy Class,October 2022,1,1,1,1,1,False,2022
258,Aer Lingus,1,13th October 2022,False,Solo Leisure,Economy Class,October 2022,3,1,1,4,2,False,2022
259,Aer Lingus,1,12th October 2022,True,Couple Leisure,Economy Class,October 2022,2,3,1,1,1,False,2022
260,Aer Lingus,1,8th October 2022,False,Couple Leisure,Economy Class,October 2022,1,3,1,1,1,False,2022
262,Aer Lingus,1,27th September 2022,True,Solo Leisure,Economy Class,September 2022,1,3,3,1,1,False,2022
263,Aer Lingus,5,25th September 2022,False,Solo Leisure,Economy Class,September 2022,3,1,1,2,1,False,2022
264,Aer Lingus,1,21st September 2022,True,Solo Leisure,Economy Class,June 2022,3,3,1,1,1,False,2022
265,Aer Lingus,2,18th September 2022,False,Couple Leisure,Economy Class,September 2022,2,1,1,2,2,False,2022
266,Aer Lingus,1,15th September 2022,True,Solo Leisure,Economy Class,September 2022,1,3,3,1,1,False,2022
268,Aer Lingus,4,15th September 2022,False,Family Leisure,Economy Class,September 2022,1,2,1,3,2,False,2022
269,Aer Lingus,1,15th September 2022,True,Business,Economy Class,September 2022,1,1,1,1,1,False,2022
270,Aer Lingus,1,13th September 2022,False,Solo Leisure,Economy Class,September 2022,1,5,1,1,1,False,2022
271,Aer Lingus,4,12th September 2022,True,Solo Leisure,Economy Class,September 2022,2,2,1,2,2,False,2022
272,Aer Lingus,1,12th September 2022,True,Couple Leisure,Economy Class,September 2022,1,1,1,1,2,False,2022
274,Aer Lingus,2,7th September 2022,True,Solo Leisure,Economy Class,September 2022,2,2,2,1,2,False,2022
275,Aer Lingus,6,6th September 2022,False,Family Leisure,Business Class,September 2022,4,4,3,3,4,True,2022
276,Aer Lingus,1,6th September 2022,True,Solo Leisure,Economy Class,September 2022,2,2,1,1,1,False,2022
277,Aer Lingus,9,4th September 2022,True,Family Leisure,Economy Class,July 2022,5,4,5,5,5,True,2022
278,Aer Lingus,1,3rd September 2022,True,Couple Leisure,Economy Class,September 2022,1,3,2,1,1,False,2022
279,Aer Lingus,2,30th August 2022,True,Solo Leisure,Economy Class,August 2022,3,5,3,4,2,False,2022
280,Aer Lingus,2,29th August 2022,True,Solo Leisure,Economy Class,August 2022,3,3,3,1,2,False,2022
281,Aer Lingus,1,28th August 2022,False,Solo Leisure,Economy Class,August 2022,5,5,5,3,5,True,2022
282,Aer Lingus,2,24th August 2022,False,Couple Leisure,Economy Class,May 2022,1,1,2,1,2,False,2022
283,Aer Lingus,6,22nd August 2022,True,Solo Leisure,Economy Class,August 2022,3,3,3,2,2,False,2022
284,Aer Lingus,1,19th August 2022,True,Family Leisure,Economy Class,August 2022,2,3,3,1,2,False,2022
285,Aer Lingus,1,16th August 2022,False,Family Leisure,Economy Class,August 2022,3,4,3,3,1,False,2022
286,Aer Lingus,2,16th August 2022,False,Couple Leisure,Economy Class,August 2022,1,1,1,1,1,False,2022
287,Aer Lingus,1,16th August 2022,True,Solo Leisure,Economy Class,July 2022,1,1,1,1,1,False,2022
288,Aer Lingus,1,14th August 2022,True,Family Leisure,Economy Class,August 2022,2,4,1,4,1,False,2022
289,Aer Lingus,1,14th August 2022,True,Solo Leisure,Economy Class,August 2022,1,1,1,1,1,False,2022
290,Aer Lingus,1,11th August 2022,False,Couple Leisure,Economy Class,August 2022,3,1,1,1,2,False,2022
292,Aer Lingus,1,9th August 2022,True,Couple Leisure,Economy Class,August 2022,1,1,1,1,1,False,2022
293,Aer Lingus,8,9th August 2022,True,Solo Leisure,Economy Class,August 2022,4,4,2,5,3,True,2022
294,Aero VIP,9,3rd May 2019,True,Solo Leisure,Economy Class,April 2019,4,4,1,5,4,True,2019
295,Aero VIP,9,3rd May 2019,True,Solo Leisure,Economy Class,April 2019,4,5,1,5,4,True,2019
296,Aero VIP,8,17th July 2017,False,Couple Leisure,Economy Class,July 2017,4,2,1,3,3,True,2017
302,Aeroflot Russian Airlines,5,30th January 2022,True,Solo Leisure,Business Class,January 2022,5,2,4,2,2,False,2022
303,Aeroflot Russian Airlines,1,10th November 2021,False,Business,Economy Class,August 2021,5,5,5,5,5,True,2021
304,Aeroflot Russian Airlines,1,25th September 2021,True,Business,Business Class,September 2021,4,5,4,5,4,True,2021
305,Aeroflot Russian Airlines,2,21st September 2021,True,Business,Economy Class,October 2020,2,3,3,2,2,False,2020
306,Aeroflot Russian Airlines,5,12th September 2021,True,Solo Leisure,Business Class,September 2021,3,3,3,3,3,True,2021
307,Aeroflot Russian Airlines,7,3rd September 2021,True,Business,Premium Economy,September 2021,1,4,4,3,4,True,2021
308,Aeroflot Russian Airlines,2,28th August 2021,True,Family Leisure,Economy Class,August 2021,3,1,4,1,2,False,2021
309,Aeroflot Russian Airlines,8,16th August 2021,False,Solo Leisure,Premium Economy,August 2021,4,5,4,3,4,True,2021
310,Aeroflot Russian Airlines,4,4th July 2021,True,Business,Economy Class,July 2021,3,4,4,1,2,False,2021
317,Aeroflot Russian Airlines,1,31st October 2020,True,Solo Leisure,Business Class,October 2020,5,5,4,4,5,True,2020
319,Aeroflot Russian Airlines,9,27th August 2020,True,Solo Leisure,Premium Economy,August 2020,2,5,5,5,5,True,2020
324,Aeroflot Russian Airlines,1,23rd June 2020,True,Solo Leisure,Economy Class,January 2020,3,1,3,1,3,False,2020
326,Aeroflot Russian Airlines,8,4th April 2020,True,Solo Leisure,Economy Class,September 2019,5,5,4,5,5,True,2019
327,Aeroflot Russian Airlines,2,24th March 2020,True,Solo Leisure,Business Class,March 2020,3,4,1,1,1,False,2020
328,Aeroflot Russian Airlines,2,20th March 2020,True,Solo Leisure,Economy Class,April 2019,1,1,1,1,1,False,2019
329,Aeroflot Russian Airlines,2,19th March 2020,True,Solo Leisure,Business Class,November 2019,2,4,2,1,2,False,2019
330,Aeroflot Russian Airlines,2,19th March 2020,True,Solo Leisure,Economy Class,March 2020,1,2,1,2,1,False,2020
331,Aeroflot Russian Airlines,1,8th March 2020,True,Solo Leisure,Economy Class,February 2020,5,5,5,5,5,True,2020
332,Aeroflot Russian Airlines,9,6th March 2020,True,Solo Leisure,Economy Class,December 2019,4,5,4,4,5,True,2019
333,Aeroflot Russian Airlines,9,4th March 2020,True,Solo Leisure,Economy Class,March 2020,5,5,5,4,4,True,2020
334,Aeroflot Russian Airlines,1,2nd March 2020,True,Family Leisure,Economy Class,February 2020,5,5,5,5,5,True,2020
335,Aeroflot Russian Airlines,1,11th February 2020,True,Family Leisure,Economy Class,January 2020,1,1,1,1,1,False,2020
